Ghazni;Ghazni;"Ghazni is a city in Afghanistan with a population of about 141,000 people. It is located in the central-east part of the country. The city or town serves as the capital of Ghazni Province. It is linked by a highway with_Kandahar_to the southwest, Kabul to the northeast, Gardezand Khost to the east. The foundation stone of the Ghazni International Airport was laid in April 2012 which will be operational in 2013.During the First Anglo-Afghan War in the 19th century, Ghazni was partially destroyed by the British-Indian forces. The city is currently being rebuilt by the Government of Afghanistan in order to revive the Ghaznavid and Timurid era when it served as a major center of Islamic civilisation. ISESCO designated the ancient city of Ghazni, which means ""jewel,"" as an Islamic capital of culture for the Asian region for 2013.";ghazni.png
JawzJan;Sheberghan;Jowzjan or Jozjan or Jawzjan is one of the thirty-four provinces of Afghanistan, located in the north of the country bordering neighboring Turkmenistan. The province is divided into 11 districts and contains hundreds of villages. It has a population of about 512,100. The capital of Jowzjan province is Sheberghan.;jawzjan.png
Baghlan;Pole- Khomri;Baghlan is one of the thirty-four provinces of Afghanistan. It is in the north of the country. Its capital is Puli Khumri, but its name comes from the other major town in the province, Baghlan. The ruins of a Zoroastrian fire temple, the Surkh Kotal, are located in Baghlan.;baghlan.png
Faryab;Maymana;Faryab is one of the thirty-four provinces of Afghanistan, which is located in the north of the country bordering neighboring Turkmenistan. It has a population of about 1548,000. The province is divided into about 15 districts and contains over 1,000 villages. The capital of Faryab province is Maymana.;faryab.png
Takhar;Talegan;Takhar is one of the thirty-four provinces of Afghanistan, located in the northeast of the country next to Tajikistan. It is surrounded by Badakhshan in the east, Panjshir in the south, and Baghlan andKunduz in the west. The city of Taloqan serves as its capital.;takhar.png
Kapisa;Mahmud-e-Raqi;Kapisa is one of the 34 provinces of Afghanistan. Located in the north-east of the country. Its capital is Mahmud-i-Raqi, and other districts include Kohistan, Nijrab and Tagab. The population of Kapisa is estimated to be 364,900, although there has never been an official estimate. The province covers an area of 1,842 km making it the smallest province in the country, however it has one of the highest populations per capita spread throughout seven districts.;kapisa.png
Bamiyan;Bamiyan;"Bamyan is the capital of Bamyan Province in central Afghanistan. With an altitude of about 2,550 m and with a population of about 61,863, Bamyan is the largest town in the central, and lies approximately 240 kilometres north-west of Kabul, the national capital. Bamyan was the site of an early Hindu Buddhistmonastery from which Bamyan takes its name (Sanskrit varmayana, ""coloured""). Bamyan's name is translated as  The Place of Shining Light. Many statues of Buddha are carved into the sides of cliffs facing Bamyan city. In 2008, Bamyan was found to be the home of the world's oldest oil paintings.The Bamiyan valley marked the most westerly point of Buddhist expansion and was a crucial hub of trade for much of the second millennium CE. It was a place where East met West and its archaeology reveals a blend of Greek, Turkish, Persian, Chinese and Indian influence.";bamyan.png
Maydan Wardak;Maydan Shahr;Maydan Wardak Province  also spelled_Maidan Wardag, or_Maidan Vardak, is one of thirty four provinces of Afghanistan located in the central east region of Afghanistan. It has a population of approximately 540,100. The capital of the province is Maidan Shar.;wardak.png
Logar;Pol-e Alam;"Logar is one of the 34 provinces of Afghanistan. The word of Logar is a combination of two Pashto words: Loy (""great"") and Ghar (""mountain""). It is located in the eastern zone, southeast of Kabul, and the geography of the province centers on the large Logar River which enters the province through the west and leaves to the north. Its capital is Pol-i-Alam.";logar.png
Nuristan;Nuristan;"Nuristan is a region in_Afghanistanembedded in the south of the Hindu Kush valleys. Its administrative center is Parun. It was formerly known asKafiristan (""land of the unbelievers"") until the inhabitants were converted to Islam in 1896, and thence the region has become known as Nuristan (""Land of Light""). Today it is one of the thirty-four provinces of Afghanistan, formed in 1989 and officially established in 2001 from the northern parts of Laghman Province and Kunar Province. Its administrative center, Parun, is located in the Parunvalley. Before 2001 its administrative center was situated in Laghman province due to_Mujahideen control over Nuristan province.";nuristan.png
Kunar;Asadabad;Kunar is one of the 34 provinces of Afghanistan, located in the northeastern part of the country. Its capital is Asadabad.;kunar.png
Khost;Khost;Khost or Khowst is a city in eastern Afghanistan. It is the capital of Khost Province, which is a mountainous region near Afghanistan's border with neighboring Federally Administered Tribal Areas (FATA) andBannu in Pakistan. The population of Khost City is about 160,000 people and the whole province has around a million.;khost.png
Paktika;Sharan;Paktika is one of the 34 provinces of Afghanistan. It is in the south-east of the country. Its capital is Sharana;paktika.png
Zabul;Qalat;Zabul is a historic province in southern Afghanistan, in the heart of the historical region of Zabulistan. Zabul became an independent province from neighbouring Kandahar in 1963, with Qalat being named the provincial capital. It should not be confused with the city_Zabol, on the Iranian side of the border with Afghanistan.;zabul.png
Urusgan;Tarin Kowt;Uruzgan is one of the thirty-four provinces of Afghanistan. It is in the center of the country, although the area is culturally and tribally linked to Kandahar Province in the south. The capital of Uruzgan is Tarinkot. The population of the province is about 428,000.;uruzgan.png
Nimroz;Zaranj;Nimruz is one of the 34 provinces of Afghanistan, located in the southwestern part of the country. It is east of Iran and north of Balochistan, Pakistan. The province contains five districts, encompassing about 649 villages, and roughly 156,600 settled people. The city of Zaranj serves as the provincial capital.;nimruz.png
Badghis;Qale-ye Now;Badghis the name means 'Home of the Winds' in Dari, referring to the steppe winds that blow into the province from the North and West. It is located in northwestern Afghanistan, between the Murghab and Hari rivers, extending as far northward as the edge of the desert of_Sarakhs. Qala i Naw, a small town halfway between Maimana and Herat, serves as the provincial center.;badghis.png
Samangan;Aybak;Samangan_is one of the thirty-four provinces of Afghanistan, located north of the Hindu Kush mountains in the central part of the country. The province covers 11,218 square kilometres and is surrounded by Sar-i Pol Province in the west, Balkh in the north, Baghlan in the east, and Bamyan in the south. Samangan province is divided into 7 districts and contains 674 villages. It has a population of about 368,800. Its capital is also by the same name, Samangan.;samangan.png
Kunduz;Kunduz;Kunduz also known as Kundoz, Qonduz, Qondoz, Konduz, Kondoz, or Qhunduz is a city in northern Afghanistan, the capital of Kunduz Province. It is linked by highways with Mazari Sharif to the west, Kabul to the south and Tajikistan's border to the north. In the 1979 census, Kunduz had a population of 53,251 people, which is now estimated to have risen to 250,000 and its capital is also called by the same name Kunduz.;kunduz.png
Daikondi;Nili;Daikundi is one of the thirty-four provinces of Afghanistan, located in the central part of the country. It has a population of about 438,500.;daykondi.png
